Account Name,City,County,State,Status,Budget Cycle,Engagement Date,Proposal Sent,ZIP,Agency Count,Budget Cycle,CPE Contract end date,Organization Type,Population,Category Type,Sworn Officers,Total Employees, Dispatch Seats ,Jail Beds,CAD Vendor,Dispatched By,CAD vendor since,RMS Vendor,RMS vendor since,CPE Vendor,CPE Last Upgraded,CPE Contract End,Jail Vendor,Jail vendor since,ANL Vendor ID
Alaska State Troopers / Fairbanks,Fairbanks,Fairbanks North Star,AK,,,,,,1,,,Dispatch Center (Stand Alone),,Dispatch,35,60,  6.00 ,,CentralSquare / Superion / SunGard / OSSI*,,,,,,,,,,
North Slope Borough Police Department,Barrow,North Slope Borough,AK,,,,,99723,1,,,"Police, Municipal",,Law,45,72,  3.00 ,14,Intellichoice / eFORCE*,,1/1/2017,Intellichoice / eFORCE*,1/1/2017,,,,,,Intellichoice / eFORCE*
Monroe County E911,Monroe,Monroe,AL,,,,,36460,1,,,Dispatch Center (Stand Alone),749600,Dispatch,0,8,  2.00 ,0,CentralSquare / TriTech / Zuercher,,12/1/2017,,,Motorola Solutions / Vesta,,,,,
Mobile County Communications Dist,Mobile,Mobile,AL,,,,,36608-4821,1,,,Dispatch Center (Stand Alone),450000,Dispatch,60,50,  75.00 ,0,Hexagon / Intergraph*,,1/1/1995,Hexagon / Intergraph,1/1/1995,,,,,,
Mobile County Sheriff's Department,Mobile,Mobile,AL,,,,,36601-3121,1,,,"County, Sheriff or Police",415395,Law,200,500,  5.00 ,0,Hexagon / Intergraph,Mobile County Communications Dist,,In House Custom System*,1/1/1996,Does not use*,,,In House Custom System*,1/1/1996,
Mobile Police Department,Mobile,Mobile,AL,,,,,36606-1619,1,,,"Police, Municipal",250000,Law,470,800,  12.00 ,0,Hexagon / Intergraph*,Mobile County Communications Dist,1/1/2007,Tyler Technologies ,1/1/2012,,,,,,Motorola Solutions / CommandCentral
Birmingham Police Department,Birmingham,Jefferson,AL,,,,,35203-2010,1,,,"Police, Municipal",212100,Law,800,1200,  32.00 ,0,Tyler Technologies / New World (Aegis)*,,12/1/2012,Tyler Technologies / New World (Aegis)*,12/1/2012,Motorola Solutions / CallWorks*,,,,,Motorola Solutions / CommandCentral
Shelby County E 9-1-1,Pelham,Shelby,AL,,,,,35124,1,,,Dispatch Center (Stand Alone),208700,Dispatch,0,45,  11.00 ,0,Hexagon / Intergraph*,,1/1/2003,,,Motorola Solutions / CallWorks*,,,,,
Baldwin County E 9-1-1,Robertsdale,Baldwin,AL,,,,,36567-0924,1,,,Dispatch Center (Stand Alone),203700,Dispatch,0,32,  13.00 ,0,Southern Software,,1/1/2015,,,Motorola Solutions / CallWorks*,,,,,
Montgomery Department of Communications,Montgomery,Montgomery,AL,,,,,36104,1,,,Dispatch Center (Stand Alone),200000,Dispatch,0,45,  12.00 ,0,Tyler Technologies ,,1/1/2002,,,Motorola Solutions / CallWorks,,,,,
Montgomery County Sheriff's Department,Montgomery,Montgomery,AL,,,,,36104-,1,,,"County, Sheriff or Police",199518,Law,150,500,  3.00 ,0,Guardian,,1/1/2011,Icon,1/1/2005,Motorola Solutions / CallWorks*,,,Guardian,1/1/2011,
University of South Alabama,Mobile,Mobile,AL,,,,,36688-0001,1,,,"Police, University & College",192904,Law,40,40,  1.00 ,0,Southern Software,,1/1/2009,Southern Software,1/1/2009,,,,,,
Lee County Sheriff's Department,Opelika,Lee,AL,,,,,36801,1,,,"County, Sheriff or Police",156900,Law,80,170,  4.00 ,450,Southern Software,,1/1/2013,Southern Software,1/1/2013,Solacom,1/1/2018,,Southern Software,1/1/2013,
Shelby County Sheriff's Department,Columbiana,Shelby,AL,,,,,35051-9332,1,,,"County, Sheriff or Police",140715,Law,130,220,  10.00 ,0,Hexagon / Intergraph*,,1/1/1997,Hexagon / Intergraph*,1/1/1997,Motorola Solutions / CallWorks*,,,Hexagon / Intergraph*,1/1/1997,Motorola Solutions / CommandCentral
Calhoun County E 9-1-1,Jacksonville,Calhoun,AL,,,,,36201,1,,,Dispatch Center (Stand Alone),120000,Dispatch,0,48,  10.00 ,0,Cassidian Communications / PlantCML*,,1/1/2010,,,,,,,,
Morgan County 911,Decatur,Morgan,AL,,,,,35603,1,,,Dispatch Center (Stand Alone),119500,Dispatch,0,12,  3.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,8/1/2019,GeoConnect,1/1/2006,Zetron*,1/1/2019,,,,Does not use*
Calhoun County Sheriff's Office,Anniston,Calhoun,AL,,,,,36201-5583,1,,,"County, Sheriff or Police",117000,Law,53,129,  2.00 ,0,In House Custom System*,,1/1/2008,In House Custom System*,1/1/2008,,,,In House Custom System*,1/1/2008,
Houston County Sheriff's Department,Dothan,Houston,AL,,,,,36302-4508,1,,,"County, Sheriff or Police",104173,Law,65,100,  8.00 ,0,Southern Software,,1/1/2015,Southern Software,1/1/2015,Motorola Solutions / CallWorks*,,,Southern Software,1/1/2015,
Etowah County 911,Gadsden,Etowah,AL,,,,,35902-8209,1,,,Dispatch Center (Stand Alone),103000,Dispatch,0,22,  5.00 ,0,GeoConnect,,1/1/2001,,,Intrado / West*,1/1/2017,1/1/2022,,,
Tuscaloosa Police Department,Tuscaloosa,Tuscaloosa,AL,,,,,35401-7500,1,,,"Police, Municipal",99925,Law,274,352,  2.00 ,0,,,,,,,,,,,Motorola Solutions / CommandCentral
Marshall County 911 Dispatch Center,Arab,Marshall,AL,,,,,35016-0947,1,,,Dispatch Center (Stand Alone),94700,Dispatch,0,14,  5.00 ,0,GeoConnect,,1/1/2013,,,Other,10/4/2017,10/4/2022,,,
Marshall County Sheriff's Department,Guntersville,Marshall,AL,,,,,35976-1107,1,,,"County, Sheriff or Police",94700,Law,40,80,  2.00 ,0,Southern Software,,1/1/2006,Southern Software,1/1/2006,,,,Southern Software,1/1/2006,Southern Software
Lauderdale County E 9-1-1,Florence,Lauderdale,AL,,,,,35630,1,,,Dispatch Center (Stand Alone),92500,Dispatch,0,23,  4.00 ,0,Hexagon / Intergraph*,,1/1/2005,,,Other,,,,,
Limestone County 9-1-1,Athens,Limestone,AL,,,,,35611,1,,,Dispatch Center (Stand Alone),91600,Dispatch,0,20,  6.00 ,0,CentralSquare / TriTech / Zuercher,,1/1/2015,,,Solacom,1/1/2018,,,,
St Clair County 911 Communications,Pell City,St Clair,AL,,,,,35125-1671,1,,,Dispatch Center (Stand Alone),87000,Dispatch,0,27,  8.00 ,0,Southern Software,,7/1/2018,,,Motorola Solutions / Vesta,,,,,
Cullman County Sheriff's Office,Cullman,Cullman,AL,,,,,35055,1,,,"County, Sheriff or Police",82755,Law,75,135,  11.00 ,400,Bloodhound Solutions,,1/1/1998,Bloodhound Solutions,1/1/1998,,,,Bloodhound Solutions,1/1/1998,
Elmore County E 9-1-1,Wetumpka,Elmore,AL,,,,,36092-0833,1,,,Dispatch Center (Stand Alone),81400,Dispatch,0,23,  6.00 ,0,Southern Software,,6/3/2019,,,Solacom*,,,,,
De Kalb County Sheriff's Department,Fort Payne,DeKalb,AL,,,,,35967,1,,,"County, Sheriff or Police",71100,Law,60,107,  2.00 ,0,Other,,,Other,,Zetron*,,,Jail Tracker,,MOVE
Dothan/Houston County E 9-1-1,Dothan,Houston,AL,,,,,35303,1,,,Dispatch Center (Stand Alone),68400,Dispatch,0,34,  32.00 ,0,Southern Software,,11/1/2015,,,Motorola Solutions / CallWorks,,,,,
Dothan Police Department,Dothan,Houston,AL,,,,,36303-,1,,,"Police, Municipal",68400,Law,174,242,  13.00 ,100,Southern Software,,11/1/2015,Southern Software,11/1/2015,Motorola Solutions / CallWorks*,,,,,Motorola Solutions / CommandCentral
Walker County E 9-1-1,Jasper,Walker Couty,AL,,,,,35504,1,,,Dispatch Center (Stand Alone),65300,Dispatch,0,15,  5.00 ,0,"ADSi - Application Data Systems, Inc.",,1/1/1993,,,Motorola Solutions / Vesta*,,,,,
Auburn Police Department,Auburn,Lee,AL,,,,,36830-4803,1,,,"Police, Municipal",63100,Law,135,135,  5.00 ,0,Southern Software,,1/1/2010,Southern Software,1/1/2005,Motorola Solutions / Vesta,,,Does not use*,,Southern Software
Limestone County Sheriff's Department,Athens,Limestone,AL,,,,,35611-2515,1,,,"County, Sheriff or Police",62244,Law,50,113,  3.00 ,312,"ADSi - Application Data Systems, Inc.",,1/1/2013,"ADSi - Application Data Systems, Inc.",1/1/2013,"ADSi - Application Data Systems, Inc.",,,"ADSi - Application Data Systems, Inc.",1/1/2013,"ADSi - Application Data Systems, Inc."
Elmore County Sheriff's Department,Wetumpka,Elmore,AL,,,,,36092-8256,1,,,"County, Sheriff or Police",62000,Law,50,120,  6.00 ,0,Southern Software,,9/1/2019,Southern Software,9/1/2019,,,,Southern Software,9/1/2019,
St Clair County Sheriff's Department,Ashville,St Clair,AL,,,,,35953-0549,1,,,"County, Sheriff or Police",62000,Law,70,117,,0,Does not use*,St Clair County 911 Communications,,Southern Software,1/1/2016,,,,Southern Software,1/1/2016,
Blount County E 9-1-1,Oneonta,Blount,AL,,,,,35121,1,,,Dispatch Center (Stand Alone),57600,Dispatch,0,26,  5.00 ,0,Southern Software,,10/1/2016,CentralSquare / TriTech / Positron*,,Solacom*,1/1/2013,1/1/2018,,,
Autauga County 911,Prattville,Autauga,AL,,,,,36067,1,,,Dispatch Center (Stand Alone),55504,Dispatch,0,12,  4.00 ,,,,,,,,,,,,
Hoover Police Department,Hoover,Jefferson,AL,,,,,35216-5500,1,,,"Police, Municipal",55464,Law,156,270,  15.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2004,Tyler Technologies / New World (Aegis)*,1/1/2004,Intrado / West*,,,,,Tyler Technologies / New World Aegis
Colbert County 911 Center,Tuscumbia,Colbert,AL,,,,,35674,1,,,Dispatch Center (Stand Alone),54500,Dispatch,0,16,  6.00 ,0,GeoConnect,,1/1/2010,,,,,,,,
Jackson County Sheriff's Department,Scottsboro,Jackson,AL,,,,,35768,1,,,"County, Sheriff or Police",52419,Law,34,90,  2.00 ,0,Intellichoice / eFORCE*,,1/1/2014,Intellichoice / eFORCE*,1/1/2014,Intellichoice / eFORCE*,,,Intellichoice / eFORCE*,1/1/2014,Intellichoice / eFORCE*
Dale County/Ozark 911,Ozark,Dale,AL,,,,,36361-0988,1,,,Dispatch Center (Stand Alone),50000,Dispatch,0,13,  4.00 ,0,Southern Software,,3/1/2018,,,Motorola Solutions / CallWorks*,,,,,
Chilton County E 9-1-1,Clanton,Chilton,AL,,,,,35045,1,,,Dispatch Center (Stand Alone),43900,Dispatch,0,13,  4.00 ,0,Southern Software,,1/1/2007,,,Motorola Solutions / CallWorks*,,,,,
Gadsden Police Department,Gadsden,Etowah,AL,,,,,35901,1,,,"Police, Municipal",41555,Law,100,165,  5.00 ,0,Tyler Technologies / Odyssey*,,9/1/2015,Tyler Technologies / Odyssey*,,Solacom,,,,,Tyler Technologies 
Dallas County Communications,Selma,Dallas,AL,,,,,36703-5745,1,,,Dispatch Center (Stand Alone),41100,Dispatch,0,17,  5.00 ,0,Caliber Public Safety / InterAct*,,1/1/2005,,,Intrado / West / Viper*,,1/1/2024,,,
Dallas County E 9-1-1 Board of Com,Selma,Dallas,AL,,,,,36702-0863,1,,,Dispatch Center (Stand Alone),41000,Dispatch,0,15,  3.00 ,0,Interpol*,,1/1/2002,,,Intrado / West / Viper*,6/1/2018,1/1/2023,,,
Tallapoosa County Sheriff,Dadeville,Tallapoosa,AL,,,,,36853,1,,,"County, Sheriff or Police",40681,Law,25,57,  2.00 ,50,Spillman Technologies,,,Spillman Technologies,,,,,Spillman Technologies,,
University of Alabama,Tuscaloosa,Tuscaloosa,AL,,,,,35487,1,,,"Police, University & College",38563,Law,117,150,  4.00 ,0,,,,,,,,,,,
Phenix City Police Department,Phenix City,Russell,AL,,,,,36867,1,,,"Police, Municipal",38521,Law,84,108,  2.00 ,0,,,,,,,,,,,
Escambia County E 9-1-1,Brewton,Escambia,AL,,,,,36427,1,,,Dispatch Center (Stand Alone),38000,Dispatch,0,2,  6.00 ,0,,,1/1/2003,,,Motorola Solutions / Vesta,1/1/2015,,,,
Escambia County Sheriff's Department,Brewton,Escambia,AL,,,,,36426-2060,1,,,"County, Sheriff or Police",36700,Law,20,35,  2.00 ,0,Caliber Public Safety / Smartcop / CTS America*,,1/1/2007,Caliber Public Safety / Smartcop / CTS America*,1/1/2007,Motorola Solutions / Vesta*,,,Caliber Public Safety / Smartcop / CTS America*,1/1/2007,Caliber Public Safety / Smartcop / CTS America*
Vestavia Hills Police Department,Vestavia Hills,Jefferson,AL,,,,,35216,1,,,"Police, Municipal",34688,Law,95,94,  11.00 ,8,Does not use*,,,Southern Software,1/1/2018,iNet,,,,,Motorola Solutions / CommandCentral
Lawrence County Sheriff's Department,Moulton,Lawrence,AL,,,,,35650-3708,1,,,"County, Sheriff or Police",33100,Law,25,35,  2.00 ,0,Jail Guardian,,1/1/2010,Jail Guardian,1/1/2010,Intrado / West*,,,Jail Guardian,1/1/2010,
Pike County Communications Center,Troy,Pike,AL,,,,,,1,,,Dispatch Center (Stand Alone),33000,Dispatch,0,20,  9.00 ,0,Southern Software,,9/1/2015,,,Solacom,,,,,
Alabaster Police Department,Alabaster,Shelby,AL,,,,,35007,1,,,"Police, Municipal",31342,Law,68,88,  12.00 ,0,Southern Software,,2/12/2013,Southern Software,2/12/2013,,,,,,Southern Software
Marion County E 9-1-1,Hamilton,Marion,AL,,,,,35570,1,,,Dispatch Center (Stand Alone),30100,Dispatch,0,15,  3.00 ,0,iNet,,12/1/2014,,,Motorola Solutions / Vesta,10/12/2017,,,,
Opelika Police Department,Opelika,Lee,AL,,,,,36801,1,,,"Police, Municipal",29800,Law,86,105,  6.00 ,0,Southern Software,,6/1/2012,Southern Software,6/1/2012,,,,,,Does not use*
Franklin County Sheriff's Department,Russellville,Franklin,AL,,,,,35653-0400,1,,,"County, Sheriff or Police",29700,Law,20,60,  2.00 ,0,Southern Software,,5/1/2018,Southern Software,5/1/2018,Other,,,Southern Software,5/1/2018,
Pike County Sheriff's Department,Troy,Pike,AL,,,,,36081,1,,,"County, Sheriff or Police",28646,Law,21,38,  1.00 ,0,Southern Software,,1/1/2015,Guardian,1/1/2016,Solacom,,,Guardian,1/1/2016,Guardian
Morgan County EMCD 9-1-1,Decatur,Morgan,AL,,,,,35603,1,,,Dispatch Center (Stand Alone),28100,Dispatch,0,36,  10.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2001,,,Motorola Solutions / Vesta,,,,,
Enterprise Police Department,Enterprise,Coffee,AL,,,,,36331-1000,1,,,"Police, Municipal",28000,Law,60,80,  14.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/1999,Ultrasystem / AL RMS,1/1/2009,Motorola Solutions / CallWorks*,8/15/2018,,,,
Bessemer Police Department,Bessemer,Jefferson,AL,,,,,35020-5699,1,,,"Police, Municipal",27000,Law,130,150,  5.00 ,,Southern Software,,4/1/2012,Southern Software,4/1/2012,,,,,,Southern Software
Macon County Sheriff's Department,Tuskegee,Macon,AL,,,,,36083-4804,1,,,"County, Sheriff or Police",26829,Law,20,50,  8.00 ,0,Justice Solutions*,,5/13/2019,In House Custom System*,1/1/1996,Sentinals,,,In House Custom System*,,
Barbour County Sheriff's Department,Clayton,Barbour,AL,,,,,36016-0278,1,,,"County, Sheriff or Police",26000,Law,15,30,  1.00 ,0,Guardian,,1/1/1994,Guardian,1/1/1994,,,,Guardian,,
Daphne Police Department,Daphne,Baldwin,AL,,,,,36526-4800,1,,,"Police, Municipal",25900,Law,57,103,  10.00 ,0,Southern Software,,9/1/2007,Southern Software,9/1/2007,Other,,,Southern Software,1/1/2007,Southern Software
Homewood Police Department,Homewood,Jefferson,AL,,,,,35209-2615,1,,,"Police, Municipal",25613,Law,82,118,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2011,Tyler Technologies / New World (Aegis)*,1/1/2011,Intrado / West / Viper*,,,,,Tyler Technologies / New World (Aegis)*
City of Homewood E 9-1-1,Homewood,Jefferson,AL,,,,,35209,1,,,Dispatch Center (Stand Alone),25600,Dispatch,0,14,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2009,Tyler Technologies / New World Aegis,1/1/2009,AT&T / Interact,,,,,
Athens Police Department,Athens,Limestone,AL,,,,,35611,1,,,"Police, Municipal",25300,Law,48,60,  2.00 ,0,Southern Software,,1/1/2006,Southern Software,1/1/2005,,,,,,Southern Software
Northport Police Department,Northport,Tuscaloosa,AL,,,,,35473,1,,,"Police, Municipal",25045,Law,59,77,  4.00 ,0,Sam Houston / Crimes*,,,In House Custom System*,1/1/2009,,,,Sam Houston / Crimes*,,
Alabama Departement of Corrections,Montgomery,,AL,,,,,36104,1,,,Correctional Facility,25000,Corrections,3000,3000,,25000,,,,,,,,,,,
Clarke County E 9-1-1,Grove Hill,Clarke,AL,,,,,36451,1,,,Dispatch Center (Stand Alone),24600,Dispatch,0,9,  4.00 ,0,Caliber Public Safety / Global*,,1/1/2007,,,Motorola Solutions / Vesta,,,,,
Winston County Sheriff's Department,Double Springs,Winston,AL,,,,,35553,1,,,"County, Sheriff or Police",24157,Law,10,25,  4.00 ,0,In House Custom System*,,,Ultrasystem / AL RMS,1/1/2019,,,,In House Custom System*,,In House Custom System*
Pelham Police Department,Pelham,Shelby,AL,,,,,35124,1,,,"Police, Municipal",23493,Law,69,84,  2.00 ,0,Spillman Technologies,,,Spillman Technologies,,Motorola Solutions / CallWorks*,,,,,
Bibb County E 9-1-1,Centerville,Bibb,AL,,,,,35042,1,,,Dispatch Center (Stand Alone),22500,Dispatch,0,8,  3.00 ,0,Digital Detectives Ltd,,1/1/2013,,,Zetron*,,,,,
Anniston Police Department,Anniston,Calhoun,AL,,,,,36202-2168,1,,,"Police, Municipal",22205,Law,87,107,  2.00 ,0,"ADSi - Application Data Systems, Inc.",,1/1/2000,"ADSi - Application Data Systems, Inc.",1/1/2000,,,,Sam Houston / Crimes*,,
Pickens County 9-1-1 Board,Carrollton,Pickens,AL,,,,,35447,1,,,Dispatch Center (Stand Alone),20800,Dispatch,0,8,  3.00 ,0,GeoConnect,,6/6/2016,,,Cassidian Communications / PlantCML,,,,,
Marengo County E911,Demopolis,Marengo,AL,,,,,36732,1,,,Dispatch Center (Stand Alone),20000,Dispatch,0,10,  2.00 ,0,PTS Solutions,,1/1/2004,,,Synergem Technologies,,,,,
Troy Police Department,Troy,Pike,AL,,,,,36081-0549,1,,,"Police, Municipal",19200,Law,60,80,  4.00 ,0,Southern Software,,9/1/2015,Southern Software,1/1/2015,,,,Southern Software,1/1/2015,Southern Software
Bibb County Sheriff's Department,Centreville,Bibb,AL,,,,,35042-6505,1,,,"County, Sheriff or Police",19000,Law,11,12,  3.00 ,0,Digital Detectives Ltd,,1/1/2002,Digital Detectives Ltd,1/1/2002,,,,,,Digital Detectives Ltd
Mountain Brook Police Department,Mountain Brook,Jefferson,AL,,,,,35213-3714,1,,,"Police, Municipal",18992,Law,53,63,  3.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2009,Tyler Technologies / New World (Aegis)*,1/1/2009,,,,,,Tyler Technologies 
Foley Police Department,Foley,Baldwin,AL,,,,,36535-3524,1,,,"Police, Municipal",17607,Law,64,92,  3.00 ,55,Southern Software,,10/1/2004,Southern Software,10/1/2004,,,,,,Does not use*
Alexander City Police Department,Alexander City,Tallapoosa,AL,,,,,35011,1,,,"Police, Municipal",15635,Law,51,67,  3.00 ,0,Southern Software,,1/1/2007,Southern Software,1/1/2007,Other,,,Does not use*,,Motorola Solutions / CommandCentral
Hueytown Police Department,Hueytown,Jefferson,AL,,,,,35023-2415,1,,,"Police, Municipal",15500,Law,38,47,  2.00 ,0,Southern Software,,1/1/2008,Southern Software,1/1/2008,Intrado / West*,1/1/2017,1/1/2022,,,Southern Software
Talladega County E 9-1-1,Talladega,Talladega,AL,,,,,35160,1,,,Dispatch Center (Stand Alone),15451,Dispatch,6,15,  8.00 ,0,Southern Software,,1/1/2008,,,Motorola Solutions / Vesta,1/1/2017,,,,
Millbrook Police Department,Millbrook,Elmore,AL,,,,,36054,1,,,"Police, Municipal",15413,Law,33,53,  9.00 ,0,Southern Software,,9/24/2019,Southern Software,9/1/2019,RPS,,,Other,10/1/2010,
Talladega Police Department,Talladega,Talladega,AL,,,,,35161-0761,1,,,"Police, Municipal",15400,Law,45,50,,0,Does not use*,Talladega County E 9-1-1,,Southern Software,1/1/2005,,,,Does not use*,,Southern Software
Cullman EMS,Cullman,Cullman,AL,,,,,35055,1,,,Dispatch Center (Stand Alone),15385,Dispatch,0,35,  2.00 ,,,,,,,,,,,,
Cleburne County E 9-1-1,Heflin,Cleburne,AL,,,,,36264,1,,,Dispatch Center (Stand Alone),15000,Dispatch,0,13,  3.00 ,0,GeoConnect,,1/1/2008,,,Motorola Solutions / Vesta,,,,,
Scottsboro Police Department,Scottsboro,Jackson,AL,,,,,35768-3077,1,,,"Police, Municipal",14100,Law,44,70,  4.00 ,0,Tyler Technologies / Odyssey*,,1/1/2006,Tyler Technologies / Odyssey*,1/1/2006,,,,,,Tyler Technologies / Odyssey*
Jasper Police Department,Jasper,Walker,AL,,,,,35501,1,,,"Police, Municipal",14003,Law,55,75,  2.00 ,0,Southern Software,,1/1/2011,Southern Software,1/1/2011,Other,,1/1/2017,Southern Software,1/1/2011,Southern Software
Saraland Police Department,Saraland,Mobile,AL,,,,,36571,1,,,"Police, Municipal",14000,Law,40,55,  8.00 ,0,Montogomery Technologies,,1/1/2010,Montogomery Technologies,1/1/2010,,,,,,Montogomery Technologies
