Legal Account Name,Address
"California State University, Los Angeles","5151 State University Dr, Los Angeles, CA 90032"
University of New Orleans,"2000 Lakeshore Dr, New Orleans, LA 70148"
Chapman University,"1 University Dr, Orange, CA 92866"
College of Charleston,"66 George St, Charleston, SC 29424"
Jackson State University,"1400 John R. Lynch St, Jackson, MS 39217"
James Madison University,"800 S Main St, Harrisonburg, VA 22807"
Naval Postgraduate School,"1 University Circle, Monterey, CA 93943"
Marshall University,"1 John Marshall Dr, Huntington, WV 25755"
Appalachian State University,"John E. Thomas Hall, 287 Rivers St, Boone, NC 28608"
South Dakota School of Mines and Technology,"501 E St Joseph St, Rapid City, SD 57701"
University of Arkansas at Little Rock,"2801 S University Ave, Little Rock, AR 72204"
Idaho State University,"921 S 8th Ave, Pocatello, ID 83209"
New Mexico Institute of Mining and Technology,"801 Leroy Pl, Socorro, NM 87801"
Union College,"2495 Bancroft Way, Berkeley, CA 94720"
Washington and Lee University,"204 W Washington St, Lexington, VA 24450"
"California State University, Sacramento","6000 Jed Smith Dr, Sacramento, CA 95819"
"University of Puerto Rico, Río Piedras Campus","6, 2526, 601 Av. Universidad, San Juan, 00925, Puerto Rico"
Hamilton College,"198 College Hill Rd, Clinton, NY 13323"
East Tennessee State University,"1276 Gilbreath Dr, Johnson City, TN 37614"
Towson University,"8000 York Rd, Towson, MD 21252"
Wellesley College,"106 Central St, Wellesley, MA 02481"
Franklin & Marshall College,"Lombardo Welcome Center, 933 Harrisburg Ave, Lancaster, PA 17603"
Embry-Riddle Aeronautical University,"7677 Oakport St Suite #820, Oakland, CA 94621"
University of Alaska Anchorage,"3211 Providence Dr, Anchorage, AK 99508"
Florida Agricultural and Mechanical University,"1601 S Martin Luther King Jr Blvd, Tallahassee, FL 32307"
Drew University,"36 Madison Ave, Madison, NJ 07940"
Kettering University,"1700 University Ave, Flint, MI 48504"
Duquesne University,"600 Forbes Ave, Pittsburgh, PA 15282"
College of Staten Island,"2800 Victory Blvd, Staten Island, NY 10314"
University of Richmond,"410 Westhampton Way, Richmond, VA 23173"
Wichita State University,"1845 Fairmount St, Wichita, KS 67260"
Rosalind Franklin University of Medicine and Science,"3333 N Green Bay Rd, North Chicago, IL 60064"
University of Colorado Colorado Springs,"1420 Austin Bluffs Pkwy, Colorado Springs, CO 80918"
University of San Diego,"5998 Alcala Park Way, San Diego, CA 92110"
Reed College,"3203 SE Woodstock Blvd, Portland, OR 97202"
Northeast Ohio Medical University,"4209 OH-44, Rootstown, OH 44272"
Sam Houston State University,"1905 University Ave, Huntsville, TX 77340"
University of Hawaii at Hilo,"200 W Kawili St, Hilo, HI 96720"
University of North Florida,"1 UNF Dr., Jacksonville, FL 32224"
Trinity College,"1180 Western St, Fairfield, CA 94533"
Sonoma State University,"1801 E Cotati Ave, Rohnert Park, CA 94928"
Auraria Higher Education Center,"Denver, CO 80204"
"University of California, Irvine","Irvine, CA 92697"
Troy University,"600 University Ave, Troy, AL 36082"
Wichita Dwight D. Eisenhower National Airport,"2277 Eisenhower Airport Pkwy, Wichita, KS 67209"
Cincinnati/Northern Kentucky International Airport,"3087 Terminal Dr, Hebron, KY 41048"
Louisville Muhammad Ali International Airport,"600 Terminal Drive, Louisville, KY 40209"
Baton Rouge Metropolitan Airport,"9430 Jackie Cochran Dr, Baton Rouge, LA 70811"
Shreveport Regional Airport,"5103 Hollywood Ave, Shreveport, LA 71109"
"University of California, Santa Barbara","Santa Barbara, CA 93106"
University of Iowa,"Iowa City, IA 52242"
Michigan State University,"East Lansing, MI"
Iowa State University,"Ames, IA 50011"
Arizona State University,"1151 S Forest Ave, Tempe, AZ"
North Carolina State University,"Raleigh, NC 27695"
University of Missouri–Columbia,"Columbia, MO 65211"
"University of Tennessee, Knoxville","Knoxville, TN 37996"
Colorado State University,"Fort Collins, CO 80523"
Virginia Tech,"Blacksburg, VA 24061"
University of Kentucky,"Lexington, KY 40506"
Louisiana State University,"Baton Rouge, LA 70803"
University of New Mexico,"Albuquerque, NM 87131"
Southern Methodist University,"Dallas, TX 75205"
University of South Carolina - Columbia,"Columbia, SC 29208"
Amherst College,"Amherst, MA 01002"
University of Mississippi,"University, MS 38677"
University of Vermont,"Burlington, VT 05405"
University of Alabama - Tuscaloosa,"Tuscaloosa, AL 35487"
Oklahoma State University,"Stillwater, OK"
West Virginia University,"Morgantown, WV 26506"
Georgia State University,"Atlanta, GA 30302"
University of Arkansas - Fayetteville,"Fayetteville, AR 72701"
Auburn University,"Auburn, AL 36849"
Brigham Young University,"Provo, UT 84602"
Ohio University,"Athens, OH 45701"
Smith College,"Northampton, MA 01063"
Fordham University,"Bronx, NY 10458"
University of Puerto Rico at Mayagüez,"259 Av. Alfonso Valdés Cobián, Mayagüez, 00680, Puerto Rico"
University of North Dakota,"Grand Forks, ND 58202"
"University of Puerto Rico, Medical Sciences Campus","9WWG+H5P, P.º Dr. José Celso Barbosa, San Juan, 00921, Puerto Rico"
Cooper Union,"February 27, 1860"
"University of Puerto Rico, Río Piedras Campus","6, 2526, 601 Av. Universidad, San Juan, 00925, Puerto Rico"
Auraria Higher Education Center,"Denver, CO 80204"
"University of California, Irvine","Irvine, CA 92697"
Bangor International Airport,"287 Godfrey Blvd, Bangor, ME 04401"
Portland International Jetport,"1001 Westbrook St, Portland, ME 04102"
Baltimore/Washington International Thurgood Marshall Airport,"7050 Friendship Rd, Baltimore, MD 21240"
Boston Logan International Airport,"East Boston, MA 02128"
Detroit Metropolitan Wayne County Airport,"Detroit, MI 48242"
Gerald R. Ford International Airport (Grand Rapids),"5500 44th St SE, Grand Rapids, MI 49512"
Cherry Capital Airport (Traverse City),"727 Fly Don't Dr, Traverse City, MI 49686"
Minneapolis-Saint Paul International Airport,"4300 Glumack Dr, St Paul, MN 55111"
Gulfport-Biloxi International Airport,"14035 Airport Rd, Gulfport, MS 39503"
Jackson-Medgar Wiley Evers International Airport,"100 International Dr, Jackson, MS 39208"
Kansas City International Airport,"1 Kansas City Blvd, Kansas City, MO 64153"
St. Louis Lambert International Airport,"10701 Lambert International Blvd, St. Louis, MO 63145"
Springfield-Branson National Airport,"2300 N Airport Blvd, Springfield, MO 65802"
Billings Logan International Airport,"1901 Terminal Cir, Billings, MT 59105"
Bozeman Yellowstone International Airport,"850 Gallatin Field Rd, Belgrade, MT 59714"
Glacier Park International Airport,"4170 US-2, Kalispell, MT 59901"
Missoula International Airport,"5225 W Broadway St, Missoula, MT 59808"
Eppley Airfield (Omaha),"4501 Abbott Dr, Omaha, NE 68110"
Harry Reid International Airport (Las Vegas),"5757 Wayne Newton Blvd, Las Vegas, NV 89119"
Reno-Tahoe International Airport,"2001 E Plumb Ln, Reno, NV 89502"
Manchester-Boston Regional Airport,"1 Airport Rd, Manchester, NH 03103"
Atlantic City International Airport,"101 Atlantic City International Airport, Egg Harbor Township, NJ 08234"
Newark Liberty International Airport,"3 Brewster Rd, Newark, NJ 07114"
Trenton-Mercer Airport,"1100 Terminal Cir Dr, Ewing Township, NJ 08628"
